@relation analise_credito

@attribute yearsOld REAL
@attribute gender {M, F}
@attribute status {solteiro, casado, divorciado, viuva}
@attribute dependent REAL
@attribute income REAL
@attribute result {Aprovado, Negado}

@data
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
28,M,solteiro,0,2500,Aprovado
17,F,solteiro,0,1000,Aprovado
28,F,solteiro,2,2500,Aprovado
68,M,casado,3,8000,Aprovado
61,F,casado,3,5000,Aprovado
30,M,casado,5,8000,Aprovado
56,M,divorciado,2,2000,Negado
45,F,divorciado,1,2000,Negado
63,F,viuva,3,1500,Negado
30,M,casado,2,8000,Aprovado
33,F,casado,1,10000,Aprovado
33,F,viuva,0,10000,Aprovado
19,M,solteiro,1,400,Negado
16,M,solteiro,0,500,Negado
















