@relation analise_credito

@attribute yearsOld REAL
@attribute gender {M, F}
@attribute status {solteiro, casado, divorciado, viuva}
@attribute dependent REAL
@attribute income REAL
@attribute result {100-500, 500-1000, 1000-1500, 1500-2000, superior}

@data
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior
28,M,solteiro,0,2500,500-1000
17,F,solteiro,0,1000,100-500
28,F,solteiro,2,2500,100-500
68,M,casado,3,8000,1500-2000
61,F,casado,3,5000,1000-1500
30,M,casado,5,8000,1000-1500
30,M,casado,2,8000,superior
33,F,casado,1,10000,superior
33,F,viuva,0,10000,superior















